127.0.0.1 - - [20/Jan/2020:09:46:17 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:00:17 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 2939
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:05:00 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3658
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:07:02 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3581
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:09:53 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:10:37 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3527
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:11:56 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3521
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:13:09 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3521
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:13:37 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:14:37 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3574
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:15:12 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3585
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:17:35 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3523
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:19:02 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3511
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:20:20 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3510
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:24:38 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3461
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:26:30 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3461
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:29:41 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:30:17 +0530] "GET /EmployeeManagemen/ HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:31:48 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:31:54 +0530] "GET /EmployeeManagemen/logindetails.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:31:59 +0530] "GET /action_page.php?username=&email=&password=&remember=something HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:35:17 +0530] "GET /EmployeeManagemen/register.html HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:29:42 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3459
